CMDLINE c:\users\miner\appdata\local\programs\python\python37\python.exe smb1Py_runner.py
MEM 1.566406 1607983459.0326
MEM 14.937500 1607983459.1458
MEM 23.183594 1607983459.2555
MEM 32.164062 1607983459.3635
MEM 41.343750 1607983459.4721
MEM 47.148438 1607983459.5786
MEM 50.742188 1607983459.6846
MEM 54.546875 1607983459.7902
MEM 59.070312 1607983459.9009
MEM 63.523438 1607983460.0126
MEM 67.992188 1607983460.1212
MEM 74.312500 1607983460.2279
MEM 89.867188 1607983460.3386
MEM 93.195312 1607983460.4479
MEM 93.984375 1607983460.5561
MEM 95.664062 1607983460.6668
MEM 95.726562 1607983460.7786
MEM 95.859375 1607983460.8872
MEM 97.867188 1607983460.9980
MEM 98.195312 1607983461.1052
MEM 98.492188 1607983461.2144
MEM 98.871094 1607983461.3241
MEM 99.441406 1607983461.4358
MEM 102.507812 1607983461.5475
MEM 100.808594 1607983461.6582
MEM 101.062500 1607983461.7679
MEM 101.570312 1607983461.8746
MEM 101.824219 1607983461.9833
MEM 102.117188 1607983462.0930
MEM 102.457031 1607983462.2018
MEM 102.808594 1607983462.3099
MEM 103.320312 1607983462.4196
MEM 109.269531 1607983462.5303
MEM 109.523438 1607983462.6368
MEM 109.820312 1607983462.7478
MEM 110.410156 1607983462.8561
MEM 110.730469 1607983462.9670
MEM 110.984375 1607983463.0738
MEM 111.554688 1607983463.1820
MEM 111.816406 1607983463.2897
MEM 112.109375 1607983463.3984
MEM 112.445312 1607983463.5051
MEM 113.015625 1607983463.6148
MEM 113.269531 1607983463.7235
MEM 113.585938 1607983463.8342
MEM 113.851562 1607983463.9459
MEM 114.398438 1607983464.0536
MEM 114.730469 1607983464.1624
MEM 115.046875 1607983464.2731
MEM 115.300781 1607983464.3831
MEM 115.617188 1607983464.4900
MEM 124.976562 1607983464.5989
MEM 127.707031 1607983464.7088
MEM 128.050781 1607983464.8187
MEM 128.367188 1607983464.9286
MEM 128.621094 1607983465.0378
MEM 129.191406 1607983465.1485
MEM 129.445312 1607983465.2582
MEM 129.738281 1607983465.3680
MEM 130.089844 1607983465.4796
MEM 130.343750 1607983465.5903
MEM 130.914062 1607983465.6980
MEM 131.230469 1607983465.8057
MEM 131.484375 1607983465.9145
MEM 131.769531 1607983466.0232
MEM 132.375000 1607983466.1339
MEM 132.628906 1607983466.2436
MEM 132.945312 1607983466.3543
MEM 133.261719 1607983466.4655
MEM 133.769531 1607983466.5750
MEM 134.066406 1607983466.6847
MEM 134.402344 1607983466.7934
MEM 134.656250 1607983466.9041
MEM 134.964844 1607983467.0138
MEM 135.281250 1607983467.1225
MEM 135.535156 1607983467.2332
MEM 135.820312 1607983467.3419
MEM 136.097656 1607983467.4516
MEM 136.425781 1607983467.5619
MEM 136.933594 1607983467.6716
MEM 137.250000 1607983467.7823
MEM 137.566406 1607983467.8912
MEM 137.820312 1607983467.9994
MEM 138.117188 1607983468.1102
MEM 138.707031 1607983468.2209
MEM 139.023438 1607983468.3296
MEM 139.277344 1607983468.4393
MEM 139.593750 1607983468.5500
MEM 140.101562 1607983468.6583
MEM 140.398438 1607983468.7681
MEM 140.734375 1607983468.8738
MEM 156.183594 1607983468.9835
MEM 164.687500 1607983469.0913
MEM 164.746094 1607983469.2030
MEM 164.773438 1607983469.3117
MEM 164.792969 1607983469.4184
MEM 164.890625 1607983469.5289
MEM 165.144531 1607983469.6396
MEM 165.460938 1607983469.7496
MEM 165.714844 1607983469.8579
MEM 166.035156 1607983469.9646
MEM 166.289062 1607983470.0733
MEM 166.574219 1607983470.1840
MEM 166.859375 1607983470.2957
MEM 167.175781 1607983470.4034
MEM 167.492188 1607983470.5101
MEM 168.000000 1607983470.6198
MEM 168.328125 1607983470.7268
MEM 168.582031 1607983470.8360
